"","startYear","genres","mean_ratings","count"
"132",1986,"Adult",5.97558139534884,516
"133",1986,"Adventure",6.95258413461538,1664
"134",1986,"Animation",7.05661467359908,1731
"135",1986,"Biography",7.04265734265734,143
"136",1986,"Comedy",6.86066291432145,3198
"137",1986,"Crime",6.88852188274154,1211
"138",1986,"Documentary",7.21708428246014,439
"139",1986,"Drama",6.86050972869279,3649
"140",1986,"Family",7.09429477020602,1262
"141",1986,"Fantasy",6.74244791666667,384
"142",1986,"Game-Show",6.66969696969697,33
"143",1986,"History",7.22477064220184,109
"144",1986,"Horror",5.60431654676259,278
"145",1986,"Music",6.88646864686469,303
"146",1986,"Musical",6.78561151079137,139
"147",1986,"Mystery",7.1,329
"148",1986,"News",5.79473684210526,19
"149",1986,"Romance",6.6387969924812,665
"150",1986,"Sci-Fi",6.46024096385542,249
"151",1986,"Short",6.54436781609195,435
"152",1986,"Sport",6.15967741935484,124
"153",1986,"Talk-Show",7.56818181818182,66
"154",1986,"Thriller",5.87671755725191,262
"155",1986,"War",6.4368932038835,103
"156",1986,"Western",6.45217391304348,23
"157",1987,"Action",6.61731946144431,1634
"158",1987,"Adult",5.9877358490566,424
"159",1987,"Adventure",6.93403068340307,1434
"160",1987,"Animation",7.10102105934907,1567
"161",1987,"Biography",7.15826771653543,127
"162",1987,"Comedy",6.87992125984252,3302
"163",1987,"Crime",6.9263109475621,1087
"164",1987,"Documentary",7.40018450184502,542
"165",1987,"Drama",6.90586473671076,4007
"166",1987,"Family",7.2551328068916,1393
"167",1987,"Fantasy",6.5676844783715,393
"168",1987,"Game-Show",6.59230769230769,39
"169",1987,"History",7.2379679144385,187
"170",1987,"Horror",5.61568123393316,389
"171",1987,"Music",7.25296167247387,287
"172",1987,"Musical",6.61875,112
"173",1987,"Mystery",7.12184684684685,444
"174",1987,"News",7.0551724137931,29
"175",1987,"Romance",6.96394176931691,893
"176",1987,"Sci-Fi",6.31274509803922,306
"177",1987,"Short",6.54635627530364,494
"178",1987,"Sport",6.15645161290323,124
"179",1987,"Talk-Show",7.27741935483871,93
"180",1987,"Thriller",5.91350482315113,311
"181",1987,"War",6.9525,160
"182",1987,"Western",5.74736842105263,19
"183",1988,"Action",6.45193798449612,1419
"184",1988,"Adult",6.05983827493261,371
"185",1988,"Adventure",6.89118165784832,1134
"186",1988,"Animation",6.96361538461538,1300
"187",1988,"Biography",7.12112676056338,142
"188",1988,"Comedy",6.82293781725888,3152
"189",1988,"Crime",6.83842105263158,1140
"190",1988,"Documentary",7.04599659284497,587
"191",1988,"Drama",6.908,3775
"192",1988,"Family",7.26961038961039,1155
"193",1988,"Fantasy",6.65574837310195,461
"194",1988,"Game-Show",6.71129032258064,62
"195",1988,"History",7.57107438016529,242
"196",1988,"Horror",5.63943965517241,464
"197",1988,"Music",7.1522491349481,289
"198",1988,"Musical",6.38709677419355,93
"199",1988,"Mystery",6.95885947046843,491
"200",1988,"News",6.06071428571429,28
"201",1988,"Romance",6.88479467258602,901
"202",1988,"Sci-Fi",6.28429487179487,312
"203",1988,"Short",6.60202839756592,493
"204",1988,"Sport",6.43790322580645,124
"205",1988,"Talk-Show",7.5,70
"206",1988,"Thriller",6.07379679144385,374
"207",1988,"War",6.8719806763285,207
"208",1988,"Western",6.93076923076923,26
