"","crop","year","yield"
"177","rice_major",2013,41261.5841526315
"178","rice_major",2014,44031.5893407017
"179","rice_major",2015,38819.3186960593
"180","rice_major",2016,43875.8650699481
"181","rice_second",1981,1813.71782565117
"182","rice_second",1982,6646.70291636139
"183","rice_second",1983,6521.34059756994
"184","rice_second",1984,6843.57187901437
"185","rice_second",1985,6479.82431869954
"186","rice_second",1986,6993.94672654942
"187","rice_second",1987,6796.27563549951
"188","rice_second",1988,6233.78156610951
"189","rice_second",1989,7329.6826100722
"190","rice_second",1990,6842.61867798865
"191","rice_second",1991,7776.89983195066
"192","rice_second",1992,7114.49301914126
"193","rice_second",1993,7404.75975534692
"194","rice_second",1994,6639.24092766643
"195","rice_second",1995,7593.39348866791
"196","rice_second",1996,8432.26495412737
"197","rice_second",1997,7182.51545925438
"198","rice_second",1998,8022.58034617826
"199","rice_second",1999,7550.0486806035
"200","rice_second",2000,7534.52245689929
"201","rice_second",2001,8001.36277693138
"202","rice_second",2002,8037.11443567276
"203","rice_second",2003,8679.86412327737
"204","rice_second",2004,8200.58520908095
"205","rice_second",2005,8391.82774649747
"206","rice_second",2006,8560.61495253071
"207","rice_second",2007,8737.37875926495
"208","rice_second",2008,8824.57761056535
"209","rice_second",2009,8653.7636362277
"210","rice_second",2010,8992.55171997286
"211","rice_second",2011,8101.27501824498
"212","rice_second",2012,8241.04484275356
"213","rice_second",2013,7955.55530088395
"214","rice_second",2014,8533.28308103234
"215","rice_second",2015,6936.05331731215
"216","rice_second",2016,7919.49290390313
"217","soybean",1981,3694.25689587742
"218","soybean",1982,10048.2289428897
"219","soybean",1983,10133.0851886831
"220","soybean",1984,10505.5664499514
"221","soybean",1985,11292.4937200993
"222","soybean",1986,11096.5536761172
"223","soybean",1987,11117.4958871584
"224","soybean",1988,10911.9418196194
"225","soybean",1989,11229.9185020104
"226","soybean",1990,12114.5890044793
"227","soybean",1991,11445.6131421141
"228","soybean",1992,11671.0109799616
"229","soybean",1993,12315.6476997994
"230","soybean",1994,12713.3842952214
"231","soybean",1995,12476.4182324558
"232","soybean",1996,13166.2116973363
"233","soybean",1997,13259.7435816228
"234","soybean",1998,13899.2073080689
"235","soybean",1999,13397.2454988137
"236","soybean",2000,13042.8651908115
"237","soybean",2001,14126.4489955977
"238","soybean",2002,14116.6841827482
"239","soybean",2003,13718.3034319878
"240","soybean",2004,13756.3528965265
"241","soybean",2005,14005.5849089995
"242","soybean",2006,14078.9787764698
"243","soybean",2007,13793.6625356004
"244","soybean",2008,14000.5914149806
"245","soybean",2009,13915.4553956538
"246","soybean",2010,14863.6330278441
"247","soybean",2011,13764.9487845674
"248","soybean",2012,13232.7063030154
"249","soybean",2013,13579.9636223689
"250","soybean",2014,13804.0111358166
"251","soybean",2015,12352.7454916537
"252","soybean",2016,14502.6601845399
"253","wheat",1981,3937.34416090511
"254","wheat",1982,38496.9674147489
"255","wheat",1983,40781.1206793208
"256","wheat",1984,42175.9428135492
"257","wheat",1985,41621.3212461565
"258","wheat",1986,41156.2085226364
"259","wheat",1987,41685.4139061812
"260","wheat",1988,40975.5531055788
"261","wheat",1989,41157.674199719
"262","wheat",1990,41985.616021865
"263","wheat",1991,39926.507303251
"264","wheat",1992,43091.6090365117
"265","wheat",1993,40889.0502973674
"266","wheat",1994,43578.7720489036
"267","wheat",1995,39798.1799147762
"268","wheat",1996,43894.4016005751
"269","wheat",1997,43299.928356831
"270","wheat",1998,44115.4337790217
"271","wheat",1999,45514.293301357
"272","wheat",2000,43244.789381546
"273","wheat",2001,44991.1858838107
"274","wheat",2002,42828.6511985753
"275","wheat",2003,44934.4352866942
"276","wheat",2004,47613.5182056054
"277","wheat",2005,46288.4983805181
"278","wheat",2006,47527.9248125972
"279","wheat",2007,45310.6126031354
"280","wheat",2008,48499.8893545177
"281","wheat",2009,48037.748052083
"282","wheat",2010,49474.019039602
"283","wheat",2011,43545.7552360147
"284","wheat",2012,42951.565989133
"285","wheat",2013,44410.9377947859
"286","wheat",2014,44001.2499622665
"287","wheat",2015,37523.993591994
"288","wheat",2016,45504.3499013148
"289","wheat_spring",1981,2101.71612009779
"290","wheat_spring",1982,18163.4509413298
"291","wheat_spring",1983,19359.5163413063
"292","wheat_spring",1984,19436.4576467909
"293","wheat_spring",1985,19469.2539396696
"294","wheat_spring",1986,19314.3939654827
"295","wheat_spring",1987,19019.6580714621
"296","wheat_spring",1988,18670.0269276723
"297","wheat_spring",1989,18398.168067798
