"year","genres","mean_ratings","count"
1987,"Documentary",7.40018450184502,542
1987,"Drama",6.90586473671076,4007
1987,"Family",7.2551328068916,1393
1987,"Fantasy",6.5676844783715,393
1987,"History",7.2379679144385,187
1987,"Horror",5.61568123393316,389
1987,"Music",7.25296167247387,287
1987,"Musical",6.61875,112
1987,"Mystery",7.12184684684685,444
1987,"Other",6.56206896551724,87
1987,"Romance",6.96394176931691,893
1987,"Sci-Fi",6.31274509803922,306
1987,"Short",6.54635627530364,494
1987,"Sport",6.15645161290323,124
1987,"Talk-Show",7.27741935483871,93
1987,"Thriller",5.91350482315113,311
1987,"War",6.9525,160
1988,"Action",6.45193798449612,1419
1988,"Adult",6.05983827493261,371
1988,"Adventure",6.89118165784832,1134
1988,"Animation",6.96361538461538,1300
1988,"Biography",7.12112676056338,142
1988,"Comedy",6.82293781725888,3152
1988,"Crime",6.83842105263158,1140
1988,"Documentary",7.04599659284497,587
1988,"Drama",6.908,3775
1988,"Family",7.26961038961039,1155
1988,"Fantasy",6.65574837310195,461
1988,"History",7.57107438016529,242
1988,"Horror",5.63943965517241,464
1988,"Music",7.1522491349481,289
1988,"Musical",6.38709677419355,93
1988,"Mystery",6.95885947046843,491
1988,"Other",6.60344827586207,116
1988,"Romance",6.88479467258602,901
1988,"Sci-Fi",6.28429487179487,312
1988,"Short",6.60202839756592,493
1988,"Sport",6.43790322580645,124
1988,"Talk-Show",7.5,70
1988,"Thriller",6.07379679144385,374
1988,"War",6.8719806763285,207
1989,"Action",6.55250596658711,1676
1989,"Adult",6.20606796116505,412
1989,"Adventure",6.82483847810481,1393
1989,"Animation",6.91186943620178,1348
1989,"Biography",6.89714285714286,140
1989,"Comedy",6.89529078014184,3525
1989,"Crime",6.81637658227848,1264
1989,"Documentary",7.08524332810047,637
1989,"Drama",6.90429813664596,4025
1989,"Family",7.23338607594937,1264
1989,"Fantasy",6.59295499021526,511
1989,"History",7.19222614840989,283
1989,"Horror",5.60994263862333,523
1989,"Music",7.23170731707317,287
1989,"Musical",6.57037037037037,81
1989,"Mystery",7.02310286677909,593
