"X","crop","year","yield","pct_change_yield","genres","mean_ratings","count","pct_change_rating"
3,"maize",1983,38091.6184557769,-10.0553435250143,"Action",6.72319391634981,1315,5.56596102416013
3,"maize",1983,38091.6184557769,-10.0553435250143,"Adult",5.69228295819936,311,2.08663438949582
3,"maize",1983,38091.6184557769,-10.0553435250143,"Adventure",6.84428672817601,1409,2.46582227834137
3,"maize",1983,38091.6184557769,-10.0553435250143,"Animation",6.9119512195122,1230,3.8360819674911
3,"maize",1983,38091.6184557769,-10.0553435250143,"Biography",7.19507042253521,142,-0.171170910354267
3,"maize",1983,38091.6184557769,-10.0553435250143,"Comedy",6.8160472972973,2368,0.969205421118673
3,"maize",1983,38091.6184557769,-10.0553435250143,"Crime",6.99142185663925,851,0.892220478422908
3,"maize",1983,38091.6184557769,-10.0553435250143,"Documentary",7.24748490945674,497,-0.415849044223174
3,"maize",1983,38091.6184557769,-10.0553435250143,"Drama",6.83731836195509,3028,0.904383157808647
3,"maize",1983,38091.6184557769,-10.0553435250143,"Family",6.99075025693731,973,1.46806839403378
3,"maize",1983,38091.6184557769,-10.0553435250143,"Fantasy",6.62304832713755,269,1.61096176136734
3,"maize",1983,38091.6184557769,-10.0553435250143,"History",7.32268041237113,194,2.63714604412493
3,"maize",1983,38091.6184557769,-10.0553435250143,"Horror",5.675,208,0.0862293374983733
3,"maize",1983,38091.6184557769,-10.0553435250143,"Music",6.97774294670846,319,-1.21378322399687
3,"maize",1983,38091.6184557769,-10.0553435250143,"Musical",6.44655172413793,116,-2.023773355613
3,"maize",1983,38091.6184557769,-10.0553435250143,"Mystery",6.84221453287197,289,-0.924338671698303
3,"maize",1983,38091.6184557769,-10.0553435250143,"Other",6.83473684210527,95,0.524153898725899
3,"maize",1983,38091.6184557769,-10.0553435250143,"Romance",6.75363489499192,619,-0.783404755188216
3,"maize",1983,38091.6184557769,-10.0553435250143,"Sci-Fi",6.13406593406593,182,-0.430332894824866
3,"maize",1983,38091.6184557769,-10.0553435250143,"Short",6.41658291457286,398,-1.88013324088443
3,"maize",1983,38091.6184557769,-10.0553435250143,"Sport",6.51884057971014,69,-2.77059310221467
3,"maize",1983,38091.6184557769,-10.0553435250143,"Talk-Show",7.43614457831325,83,-0.224243725909954
3,"maize",1983,38091.6184557769,-10.0553435250143,"Thriller",6.0073732718894,217,-3.50305784056169
3,"maize",1983,38091.6184557769,-10.0553435250143,"War",6.95534591194969,159,-1.6069381226707
4,"maize",1984,41980.8969392404,10.2103261587029,"Action",6.625,1240,-1.4605248275082
4,"maize",1984,41980.8969392404,10.2103261587029,"Adult",5.73542168674699,415,0.757845821516844
4,"maize",1984,41980.8969392404,10.2103261587029,"Adventure",6.71043239533288,1457,-1.95570901920412
4,"maize",1984,41980.8969392404,10.2103261587029,"Animation",6.68136117556071,1293,-3.3361063559092
4,"maize",1984,41980.8969392404,10.2103261587029,"Biography",7.0965811965812,117,-1.36884311299495
4,"maize",1984,41980.8969392404,10.2103261587029,"Comedy",6.78380097268986,2673,-0.473094202562629
4,"maize",1984,41980.8969392404,10.2103261587029,"Crime",7.0567940552017,942,0.935034387895944
4,"maize",1984,41980.8969392404,10.2103261587029,"Documentary",7.17251732101617,433,-1.03439454344707
4,"maize",1984,41980.8969392404,10.2103261587029,"Drama",6.84439083232811,3316,0.103439243262006
4,"maize",1984,41980.8969392404,10.2103261587029,"Family",7.06043388429752,968,0.996797551036235
4,"maize",1984,41980.8969392404,10.2103261587029,"Fantasy",6.73309090909091,275,1.66150957260069
4,"maize",1984,41980.8969392404,10.2103261587029,"History",7.40174672489083,229,1.07974550392944
4,"maize",1984,41980.8969392404,10.2103261587029,"Horror",5.73938053097345,226,1.13445869556742
4,"maize",1984,41980.8969392404,10.2103261587029,"Music",7.0469696969697,330,0.992108061158899
4,"maize",1984,41980.8969392404,10.2103261587029,"Musical",6.58225806451613,124,2.10509969027429
4,"maize",1984,41980.8969392404,10.2103261587029,"Mystery",6.96132404181185,287,1.74080348354533
4,"maize",1984,41980.8969392404,10.2103261587029,"Other",7.086,100,3.67626674880636
4,"maize",1984,41980.8969392404,10.2103261587029,"Romance",6.7110119047619,672,-0.631111851510169
4,"maize",1984,41980.8969392404,10.2103261587029,"Sci-Fi",6.20175438596491,228,1.10348425704179
4,"maize",1984,41980.8969392404,10.2103261587029,"Short",6.56414141414141,396,2.29964299586039
4,"maize",1984,41980.8969392404,10.2103261587029,"Sport",6.46181818181818,110,-0.874732204211929
4,"maize",1984,41980.8969392404,10.2103261587029,"Talk-Show",7.53382352941177,68,1.31356982196648
4,"maize",1984,41980.8969392404,10.2103261587029,"Thriller",5.98177966101695,236,-0.426036633884756
4,"maize",1984,41980.8969392404,10.2103261587029,"War",6.84803149606299,127,-1.54290551821912
5,"maize",1985,43999.0925270468,4.80741416918119,"Action",6.7241550695825,2012,1.49668029558491
5,"maize",1985,43999.0925270468,4.80741416918119,"Adult",6.00251798561151,556,4.65696008859658
