"genres","pearson_r","spearman_r"
"Adult",0.363490970530408,0.127272727272727
"War",0.350643440929902,0.46096256684492
"Animation",-0.232853180849697,-0.357983193277311
"Horror",0.21322122738631,0.260504201680672
"Thriller",-0.159989296146786,-0.149885408708938
"Documentary",0.154248661363149,0.0826585179526356
"Sport",0.143585101929971,0.187471352177235
"History",0.141479474817467,0.145912910618793
"Drama",-0.138380081796802,-0.242780748663102
"Short",-0.123173259074134,-0.111688311688312
"Music",0.111521506103036,0.111077158135982
"Talk-Show",-0.100850506089161,-0.0725744843391902
"Comedy",-0.100130135220345,-0.223529411764706
"Romance",-0.0954207057910502,-0.231168831168831
"Sci-Fi",-0.0872476052415875,-0.0906035141329259
"Biography",-0.0853162085251689,-0.147135217723453
"Crime",-0.0845840509319352,-0.0860198624904507
"Mystery",0.0815865708708776,0.135828877005348
"Family",0.0482870295029746,0.115355233002292
"Action",0.0401721182162654,-0.0624904507257448
"Adventure",-0.0341171610173289,-0.113827349121467
"Other",-0.028732871004442,0.0053475935828877
"Fantasy",0.00536777296508018,0.0887700534759358
"Musical",-0.00141768980712623,0.0337662337662338
